customer_id,credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn,has_zero_balance,age_group,tenure_group,inactive_with_one_product,credit_score_band
15728693,574,Germany,Female,43,3,141349.43,1,yes,yes,100187.43,no,no,35-44,3-5,no,Poor
15656300,411,France,Male,29,0,59697.17,2,yes,yes,53483.21,no,no,25-34,0,no,Poor
15589475,591,Spain,Female,39,3,0.0,3,yes,no,140469.38,yes,yes,35-44,3-5,no,Fair
15706552,533,France,Male,36,7,85311.7,1,no,yes,156731.91,no,no,35-44,6-10,no,Poor
15750181,553,Germany,Male,41,9,110112.54,2,no,no,81898.81,no,no,35-44,6-10,no,Poor
15659428,520,Spain,Female,42,6,0.0,2,yes,yes,34410.55,no,yes,35-44,6-10,no,Poor
15732963,722,Spain,Female,29,9,0.0,2,yes,yes,142033.07,no,yes,25-34,6-10,no,Good
15794171,475,France,Female,45,0,134264.04,1,yes,no,27822.99,yes,no,35-44,0,yes,Poor
15788448,490,Spain,Male,31,3,145260.23,1,no,yes,114066.77,no,no,25-34,3-5,no,Poor
15729599,804,Spain,Male,33,7,76548.6,1,no,yes,98453.45,no,no,25-34,6-10,no,Excellent
15717426,850,France,Male,36,7,0.0,1,yes,yes,40812.9,no,yes,35-44,6-10,no,Excellent
15585768,582,Germany,Male,41,6,70349.48,2,no,yes,178074.04,no,no,35-44,6-10,no,Fair
15619360,472,Spain,Male,40,4,0.0,1,yes,no,70154.22,no,yes,35-44,3-5,yes,Poor
15738148,465,France,Female,51,8,122522.32,1,no,no,181297.65,yes,no,45-54,6-10,yes,Poor
15687946,556,France,Female,61,2,117419.35,1,yes,yes,94153.83,no,no,55-64,1-2,no,Poor
15755196,834,France,Female,49,2,131394.56,1,no,no,194365.76,yes,no,45-54,1-2,yes,Excellent
15684171,660,Spain,Female,61,5,155931.11,1,yes,yes,158338.39,no,no,55-64,3-5,no,Fair
15754849,776,Germany,Female,32,4,109421.13,2,yes,yes,126517.46,no,no,25-34,3-5,no,Very Good
15602280,829,Germany,Female,27,9,112045.67,1,yes,yes,119708.21,yes,no,25-34,6-10,no,Excellent
15771573,637,Germany,Female,39,9,137843.8,1,yes,yes,117622.8,yes,no,35-44,6-10,no,Fair
15766205,550,Germany,Male,38,2,103391.38,1,no,yes,90878.13,no,no,35-44,1-2,no,Poor
15771873,776,Germany,Female,37,2,103769.22,2,yes,no,194099.12,no,no,35-44,1-2,no,Very Good
15616550,698,Germany,Male,44,10,116363.37,2,yes,no,198059.16,no,no,35-44,6-10,no,Good
15768193,585,Germany,Male,36,5,146050.97,2,no,no,86424.57,no,no,35-44,3-5,no,Fair
15683553,788,France,Female,33,5,0.0,2,no,no,116978.19,no,yes,25-34,3-5,no,Very Good
15702298,655,Germany,Male,41,8,125561.97,1,no,no,164040.94,yes,no,35-44,6-10,yes,Fair
15569590,601,Germany,Male,42,1,98495.72,1,yes,no,40014.76,yes,no,35-44,1-2,yes,Fair
15760861,619,France,Male,43,1,125211.92,1,yes,yes,113410.49,no,no,35-44,1-2,no,Fair
15630053,656,France,Male,45,5,127864.4,1,yes,no,87107.57,no,no,35-44,3-5,yes,Fair
15647091,725,Germany,Male,19,0,75888.2,1,no,no,45613.75,no,no,<25,0,yes,Good
15623944,511,Spain,Female,66,4,0.0,1,yes,no,1643.11,yes,yes,65+,3-5,yes,Poor
15804771,614,France,Male,51,4,40685.92,1,yes,yes,46775.28,no,no,45-54,3-5,no,Fair
15651280,742,Germany,Male,35,5,136857.0,1,no,no,84509.57,no,no,25-34,3-5,yes,Very Good
15773469,687,Germany,Female,27,9,152328.88,2,no,no,126494.82,no,no,25-34,6-10,no,Good
15702014,555,Spain,Male,33,1,56084.69,2,no,no,178798.13,no,no,25-34,1-2,no,Poor
15751208,684,Spain,Male,56,8,78707.16,1,yes,yes,99398.36,no,no,55-64,6-10,no,Good
15592461,603,Germany,Male,26,4,109166.37,1,yes,yes,92840.67,no,no,25-34,3-5,no,Fair
15789484,751,Germany,Female,36,6,169831.46,2,yes,yes,27758.36,no,no,35-44,6-10,no,Very Good
15696061,581,Germany,Female,34,1,101633.04,1,yes,no,110431.51,no,no,25-34,1-2,yes,Fair
15641582,735,Germany,Male,43,10,123180.01,2,yes,yes,196673.28,no,no,35-44,6-10,no,Good
15638424,661,Germany,Female,35,5,150725.53,2,no,yes,113656.85,no,no,25-34,3-5,no,Fair
15755648,675,France,Female,21,8,98373.26,1,yes,no,18203.0,no,no,<25,6-10,yes,Good
15703793,738,Germany,Male,58,2,133745.44,4,yes,no,28373.86,yes,no,55-64,1-2,no,Good
15620344,813,France,Male,29,6,0.0,1,yes,no,33953.87,no,yes,25-34,6-10,yes,Excellent
15812518,657,Spain,Female,37,0,163607.18,1,no,yes,44203.55,no,no,35-44,0,no,Fair
15779052,604,Germany,Female,25,5,157780.84,2,yes,yes,58426.81,no,no,<25,3-5,no,Fair
15770811,519,France,Male,36,9,0.0,2,no,yes,145562.4,no,yes,35-44,6-10,no,Poor
15780961,735,France,Female,21,1,178718.19,2,yes,no,22388.0,no,no,<25,1-2,no,Good
15614049,664,France,Male,55,8,0.0,2,yes,yes,139161.64,no,yes,45-54,6-10,no,Fair
15662085,678,France,Female,32,9,0.0,1,yes,yes,148210.64,no,yes,25-34,6-10,no,Good
15575185,757,Spain,Male,33,5,77253.22,1,no,yes,194239.63,no,no,25-34,3-5,no,Very Good
15803136,416,Germany,Female,41,10,122189.66,2,yes,no,98301.61,no,no,35-44,6-10,no,Poor
15706021,665,France,Female,34,1,96645.54,2,no,no,171413.66,no,no,25-34,1-2,no,Fair
15663706,777,France,Female,32,2,0.0,1,yes,no,136458.19,yes,yes,25-34,1-2,yes,Very Good
15641732,543,France,Female,36,3,0.0,2,no,no,26019.59,no,yes,35-44,3-5,no,Poor
15701164,506,France,Female,34,4,90307.62,1,yes,yes,159235.29,no,no,25-34,3-5,no,Poor
15738751,493,France,Female,46,4,0.0,2,yes,no,1907.66,no,yes,45-54,3-5,no,Poor
15805254,652,Spain,Female,75,10,0.0,2,yes,yes,114675.75,no,yes,65+,6-10,no,Fair
15762418,750,Spain,Male,22,3,121681.82,1,yes,no,128643.35,yes,no,<25,3-5,yes,Very Good
15625759,729,France,Male,30,9,0.0,2,yes,no,151869.35,no,yes,25-34,6-10,no,Good
15622897,646,France,Female,46,4,0.0,3,yes,no,93251.42,yes,yes,45-54,3-5,no,Fair
15767954,635,Germany,Female,28,3,81623.67,2,yes,yes,156791.36,no,no,25-34,3-5,no,Fair
15757535,647,Spain,Female,44,5,0.0,3,yes,yes,174205.22,yes,yes,35-44,3-5,no,Fair
15731511,808,France,Male,45,7,118626.55,2,yes,no,147132.46,no,no,35-44,6-10,no,Excellent
15809248,524,France,Female,36,10,0.0,2,yes,no,109614.57,no,yes,35-44,6-10,no,Poor
15640635,769,France,Male,29,8,0.0,2,yes,yes,172290.61,no,yes,25-34,6-10,no,Very Good
15676966,730,Spain,Male,42,4,0.0,2,no,yes,85982.47,no,yes,35-44,3-5,no,Good
15699461,515,Spain,Male,35,10,176273.95,1,no,yes,121277.78,no,no,25-34,6-10,no,Poor
15738721,773,Spain,Male,41,9,102827.44,1,no,yes,64595.25,no,no,35-44,6-10,no,Very Good
15693683,814,Germany,Male,29,8,97086.4,2,yes,yes,197276.13,no,no,25-34,6-10,no,Excellent
15604348,710,Spain,Male,22,8,0.0,2,no,no,99645.04,no,yes,<25,6-10,no,Good
15633059,413,France,Male,34,9,0.0,2,no,no,6534.18,no,yes,25-34,6-10,no,Poor
15808582,665,France,Female,40,6,0.0,1,yes,yes,161848.03,no,yes,35-44,6-10,no,Fair
15743192,623,France,Female,44,6,0.0,2,no,no,167162.43,no,yes,35-44,6-10,no,Fair
15580146,738,France,Male,31,9,82674.15,1,yes,no,41970.72,no,no,25-34,6-10,yes,Good
15776605,528,Spain,Male,36,7,0.0,2,yes,no,60536.56,no,yes,35-44,6-10,no,Poor
15804919,670,Spain,Female,65,1,0.0,1,yes,yes,177655.68,yes,yes,55-64,1-2,no,Fair
15613854,622,Spain,Female,46,4,107073.27,2,yes,yes,30984.59,yes,no,45-54,3-5,no,Fair
15599195,582,Germany,Male,32,1,88938.62,1,yes,yes,10054.53,no,no,25-34,1-2,no,Fair
15812878,785,Germany,Female,36,2,99806.85,1,no,yes,36976.52,no,no,35-44,1-2,no,Very Good
15602312,605,Spain,Male,33,5,150092.8,1,no,no,71862.79,no,no,25-34,3-5,yes,Fair
15744689,479,Germany,Male,35,9,92833.89,1,yes,no,99449.86,yes,no,25-34,6-10,yes,Poor
15803526,685,Germany,Male,30,3,90536.81,1,no,yes,63082.88,no,no,25-34,3-5,no,Good
15665790,538,Germany,Male,39,7,108055.1,2,yes,no,27231.26,no,no,35-44,6-10,no,Poor
15715951,562,France,Male,42,2,100238.35,1,no,no,86797.41,no,no,35-44,1-2,yes,Poor
15591100,675,Spain,Male,36,9,106190.55,1,no,yes,22994.32,no,no,35-44,6-10,no,Good
15609618,721,Germany,Male,28,9,154475.54,2,no,yes,101300.94,yes,no,25-34,6-10,no,Good
15675522,628,Germany,Female,30,9,132351.29,2,yes,yes,74169.13,no,no,25-34,6-10,no,Fair
15705512,668,Germany,Female,37,6,167864.4,1,yes,no,115638.29,no,no,35-44,6-10,yes,Fair
15698028,506,France,Female,41,1,0.0,2,yes,no,31766.3,no,yes,35-44,1-2,no,Poor
15661670,524,Germany,Female,31,8,107818.63,1,yes,no,199725.39,yes,no,25-34,6-10,yes,Poor
15600781,699,Germany,Male,34,4,185173.81,2,yes,no,120834.48,no,no,25-34,3-5,no,Good
15682472,828,France,Male,34,8,129433.34,2,no,no,38131.77,no,no,25-34,6-10,no,Excellent
15580203,674,Spain,Male,39,6,120193.42,1,no,no,100130.95,no,no,35-44,6-10,yes,Good
15690673,656,France,Female,39,6,0.0,2,yes,no,141069.88,no,yes,35-44,6-10,no,Fair
15760085,684,Germany,Female,48,10,126384.42,1,yes,yes,198129.36,no,no,45-54,6-10,no,Good
15779659,625,France,Female,28,3,0.0,1,no,no,183646.41,no,yes,25-34,3-5,yes,Fair
15627360,432,France,Male,42,9,152603.45,1,yes,no,110265.24,yes,no,35-44,6-10,yes,Poor
15671137,549,France,Female,52,1,0.0,1,no,yes,8636.05,yes,yes,45-54,1-2,no,Poor
15782688,625,Germany,Male,56,0,148507.24,1,yes,no,46824.08,yes,no,55-64,0,yes,Fair
15575492,828,France,Female,41,7,0.0,2,yes,no,171378.77,no,yes,35-44,6-10,no,Excellent
15591607,770,France,Male,24,9,101827.07,1,yes,no,167256.35,no,no,<25,6-10,yes,Very Good
15740404,758,France,Female,34,3,0.0,2,yes,yes,124226.16,no,yes,25-34,3-5,no,Very Good
15718369,795,Germany,Female,33,9,130862.43,1,yes,yes,114935.21,no,no,25-34,6-10,no,Very Good
15677871,687,France,Male,38,9,122570.87,1,yes,yes,35608.88,no,no,35-44,6-10,no,Good
15642004,686,France,Male,25,1,0.0,2,no,yes,16459.37,no,yes,<25,1-2,no,Good
15712543,789,Germany,Male,39,7,124828.46,2,yes,yes,124411.08,no,no,35-44,6-10,no,Very Good
15584518,589,Germany,Female,50,5,144895.05,2,yes,yes,34941.23,no,no,45-54,3-5,no,Fair
15802381,461,Germany,Female,34,5,63663.93,1,no,yes,167784.28,no,no,25-34,3-5,no,Poor
15610156,637,France,Male,40,2,133463.1,1,no,yes,93165.34,no,no,35-44,1-2,no,Fair
15594408,584,Spain,Female,48,2,213146.2,1,yes,no,75161.25,yes,no,45-54,1-2,yes,Fair
15640905,579,Spain,Female,35,1,129490.36,2,no,yes,8590.83,yes,no,25-34,1-2,no,Poor
15698932,756,Germany,Male,44,10,137452.09,1,yes,no,189543.9,no,no,35-44,6-10,yes,Very Good
15724944,663,France,Male,34,7,0.0,2,yes,yes,180427.24,no,yes,25-34,6-10,no,Fair
15628145,682,France,Female,43,5,125851.93,1,yes,yes,193318.33,no,no,35-44,3-5,no,Good
15713483,793,Spain,Male,52,2,0.0,1,yes,no,159123.82,yes,yes,45-54,1-2,yes,Very Good
15612350,691,France,Female,31,5,40915.55,1,yes,no,126213.84,yes,no,25-34,3-5,yes,Good
15800703,485,Spain,Female,21,5,113157.22,1,yes,yes,54141.5,no,no,<25,3-5,no,Poor
15705707,635,Spain,Female,29,8,138296.94,2,yes,no,141075.51,no,no,25-34,6-10,no,Fair
15754105,650,France,Male,37,5,106967.18,1,no,no,24495.03,no,no,35-44,3-5,yes,Fair
15703264,735,France,Male,44,9,120681.63,1,yes,no,74836.34,no,no,35-44,6-10,yes,Good
15794413,416,France,Male,32,0,0.0,2,no,yes,878.87,no,yes,25-34,0,no,Poor
15650237,754,Spain,Female,32,7,0.0,2,yes,no,89520.75,no,yes,25-34,6-10,no,Very Good
15759618,535,France,Female,48,9,0.0,1,yes,no,149892.79,yes,yes,45-54,6-10,yes,Poor
15811589,716,Spain,Male,42,8,0.0,2,yes,no,180800.42,no,yes,35-44,6-10,no,Good
15689044,539,France,Male,37,2,127609.59,1,yes,no,98646.22,no,no,35-44,1-2,yes,Poor
15709368,614,France,Female,43,6,0.0,2,yes,yes,109041.53,no,yes,35-44,6-10,no,Fair
15679145,706,Spain,Male,57,7,0.0,1,yes,no,17941.16,yes,yes,55-64,6-10,yes,Good
15655007,758,France,Female,33,7,0.0,2,no,no,82996.47,no,yes,25-34,6-10,no,Very Good
15623595,586,Spain,Female,28,2,0.0,2,yes,yes,92067.35,no,yes,25-34,1-2,no,Fair
15589975,646,France,Female,73,6,97259.25,1,no,yes,104719.66,no,no,65+,6-10,no,Fair
15804017,631,Germany,Female,33,4,123246.7,1,no,no,112687.57,no,no,25-34,3-5,yes,Fair
15692132,717,Spain,Female,22,6,101060.25,1,no,yes,84699.56,no,no,<25,6-10,no,Good
15641122,684,France,Male,30,2,0.0,2,yes,no,83473.82,no,yes,25-34,1-2,no,Good
15630910,800,France,Female,49,7,108007.36,1,no,no,47125.11,no,no,45-54,6-10,yes,Very Good
15680772,721,Spain,Female,36,2,0.0,2,yes,yes,106977.8,no,yes,35-44,1-2,no,Good
15658929,683,Spain,Male,29,0,133702.89,1,yes,no,55582.54,yes,no,25-34,0,yes,Good
15585388,660,Germany,Male,31,9,125189.75,2,yes,yes,139874.43,no,no,25-34,6-10,no,Fair
15724623,704,Germany,Female,24,7,113034.22,1,yes,no,162503.48,yes,no,<25,6-10,yes,Good
15588537,615,Spain,Female,41,9,109013.23,1,yes,no,196499.96,no,no,35-44,6-10,yes,Fair
15574692,667,Spain,Female,39,2,0.0,2,yes,no,40721.24,yes,yes,35-44,1-2,no,Fair
15611325,682,Germany,Male,24,9,57929.81,2,no,no,53134.3,no,no,<25,6-10,no,Good
15587562,484,France,Female,29,4,130114.39,1,yes,no,164017.89,no,no,25-34,3-5,yes,Poor
15613172,628,Germany,Male,27,5,95826.49,2,yes,no,155996.96,no,no,25-34,3-5,no,Fair
15651022,480,Germany,Male,44,10,129608.57,1,yes,no,5472.7,yes,no,35-44,6-10,yes,Poor
15586310,578,France,Male,30,4,169462.09,1,yes,no,112187.11,no,no,25-34,3-5,yes,Poor
15625524,512,France,Male,40,5,0.0,2,yes,yes,146457.83,no,yes,35-44,3-5,no,Poor
15755209,484,Spain,Female,35,7,133868.21,1,yes,yes,27286.1,no,no,25-34,6-10,no,Poor
15645248,510,France,Female,30,0,0.0,2,yes,yes,130553.47,no,yes,25-34,0,no,Poor
15790355,606,Germany,Male,36,5,190479.48,2,no,no,179351.89,no,no,35-44,3-5,no,Fair
15762615,597,Spain,Female,40,8,101993.12,1,no,yes,94774.12,no,no,35-44,6-10,no,Fair
15625426,754,Germany,Female,55,3,161608.81,1,yes,no,8080.85,yes,no,45-54,3-5,yes,Very Good
15716334,850,Spain,Female,45,2,122311.21,1,yes,yes,19482.5,no,no,35-44,1-2,no,Excellent
15789669,510,France,Male,65,2,0.0,2,yes,yes,48071.61,no,yes,55-64,1-2,no,Poor
15621075,778,Germany,Female,45,1,162150.42,2,yes,no,174531.27,no,no,35-44,1-2,no,Very Good
15810845,636,France,Male,42,2,0.0,2,yes,yes,55470.78,no,yes,35-44,1-2,no,Fair
15719377,804,France,Female,50,4,0.0,1,yes,yes,8546.87,yes,yes,45-54,3-5,no,Excellent
15654506,514,France,Male,32,8,0.0,2,yes,no,95857.18,no,yes,25-34,6-10,no,Poor
15771977,730,France,Female,39,1,99010.67,1,yes,no,194945.8,no,no,35-44,1-2,yes,Good
15708710,525,Spain,Female,37,0,0.0,1,no,yes,131521.72,no,yes,35-44,0,no,Poor
15726676,616,Spain,Male,30,5,0.0,2,no,yes,196108.51,no,yes,25-34,3-5,no,Fair
15587421,687,Germany,Female,34,7,111388.18,2,yes,no,148564.76,no,no,25-34,6-10,no,Good
15726931,715,France,Female,41,8,56214.85,2,no,no,92982.61,yes,no,35-44,6-10,no,Good
15771086,512,France,Female,36,3,84327.77,2,yes,no,17675.36,no,no,35-44,3-5,no,Poor
15756850,479,France,Male,40,1,0.0,2,no,no,114996.43,no,yes,35-44,1-2,no,Poor
15702741,601,France,Male,32,8,93012.89,1,yes,no,86957.42,no,no,25-34,6-10,yes,Fair
15679200,580,Spain,Male,29,9,61710.44,2,yes,no,128077.8,no,no,25-34,6-10,no,Poor
15594815,807,France,Male,35,3,174790.15,1,yes,yes,600.36,no,no,25-34,3-5,no,Excellent
15635905,616,Spain,Female,32,6,0.0,2,yes,yes,43001.46,no,yes,25-34,6-10,no,Fair
15777892,721,Germany,Male,37,3,107720.64,1,yes,yes,158591.12,no,no,35-44,3-5,no,Good
15656176,501,France,Male,57,10,0.0,2,yes,yes,47847.19,no,yes,55-64,6-10,no,Poor
15811127,521,France,Male,35,6,96423.84,1,yes,no,10488.44,no,no,25-34,6-10,yes,Poor
15604482,850,Spain,Male,30,2,141040.01,1,yes,yes,5978.2,no,no,25-34,1-2,no,Excellent
15622911,759,France,Male,42,4,105420.18,1,no,yes,121409.06,no,no,35-44,3-5,no,Very Good
15600974,516,Spain,Male,50,5,0.0,1,no,yes,146145.93,yes,yes,45-54,3-5,no,Poor
15727868,711,France,Female,38,2,129022.06,2,yes,yes,14374.86,yes,no,35-44,1-2,no,Good
15627801,512,Spain,Male,33,3,176666.62,1,yes,no,94670.77,no,no,25-34,3-5,yes,Poor
15773039,550,France,Male,37,3,0.0,1,yes,yes,179670.31,no,yes,35-44,3-5,no,Poor
15755262,608,Spain,Female,41,3,89763.84,1,no,no,199304.74,yes,no,35-44,3-5,yes,Fair
15679531,618,France,Male,34,5,134954.53,1,yes,yes,151954.39,no,no,25-34,3-5,no,Fair
15684181,643,France,Male,45,5,0.0,1,yes,no,142513.5,yes,yes,35-44,3-5,yes,Fair
15612087,671,France,Male,45,2,106376.85,1,no,yes,158264.62,no,no,35-44,1-2,no,Good
15752047,689,Germany,Male,33,2,161814.64,2,yes,no,169381.9,no,no,25-34,1-2,no,Good
15624592,603,France,Male,31,8,0.0,2,yes,yes,169915.02,no,yes,25-34,6-10,no,Fair
15573152,620,France,Female,41,9,0.0,2,no,no,88852.47,no,yes,35-44,6-10,no,Fair
15594917,676,France,Female,34,1,63095.01,1,yes,yes,40645.81,no,no,25-34,1-2,no,Good
15785542,572,Germany,Male,26,4,118287.01,2,no,no,60427.3,no,no,25-34,3-5,no,Poor
15723488,668,Germany,Male,47,7,106854.21,1,no,yes,157959.02,yes,no,45-54,6-10,no,Fair
15680920,695,France,Male,46,7,49512.55,1,yes,no,133007.34,no,no,45-54,6-10,yes,Good
15786308,730,Spain,Female,33,9,0.0,2,no,no,176576.62,no,yes,25-34,6-10,no,Good
15659366,807,France,Male,43,1,105799.32,2,yes,no,34888.04,yes,no,35-44,1-2,no,Excellent
15774854,592,France,Male,54,8,0.0,1,yes,yes,28737.71,yes,yes,45-54,6-10,no,Fair
15725311,726,France,Female,31,9,114722.05,2,yes,yes,98178.57,no,no,25-34,6-10,no,Good
15787155,514,Spain,Male,30,7,0.0,1,no,yes,125010.24,no,yes,25-34,6-10,no,Poor
15727829,567,France,Male,42,2,0.0,2,yes,yes,167984.61,no,yes,35-44,1-2,no,Poor
15733247,850,France,Male,33,10,0.0,1,yes,no,4861.72,yes,yes,25-34,6-10,yes,Excellent
15568748,671,Germany,Male,45,6,99564.22,1,yes,yes,108872.45,yes,no,35-44,6-10,no,Good
15699029,670,France,Male,37,4,170557.91,2,yes,no,198252.88,no,no,35-44,3-5,no,Fair
15774393,694,France,Female,30,9,0.0,2,yes,yes,26960.31,no,yes,25-34,6-10,no,Good
15676895,547,Germany,Female,39,6,74596.15,3,yes,yes,85746.52,yes,no,35-44,6-10,no,Poor
15637753,751,Germany,Male,50,2,96888.39,1,yes,no,77206.25,yes,no,45-54,1-2,yes,Very Good
15605461,594,Germany,Female,29,3,130830.22,1,yes,no,61048.53,no,no,25-34,3-5,yes,Fair
15808473,673,France,Male,72,1,0.0,2,no,yes,111981.19,no,yes,65+,1-2,no,Good
15627000,610,France,Male,40,0,0.0,2,yes,no,62232.6,no,yes,35-44,0,no,Fair
15787174,512,France,Female,37,1,0.0,2,no,yes,156105.03,no,yes,35-44,1-2,no,Poor
15723886,767,Germany,Male,20,3,119714.25,2,no,yes,150135.38,no,no,<25,3-5,no,Very Good
15704769,585,France,Female,67,5,113978.97,2,no,yes,93146.11,no,no,65+,3-5,no,Fair
15772896,763,Germany,Male,42,6,100160.75,1,yes,no,33462.94,yes,no,35-44,6-10,yes,Very Good
15711540,712,France,Female,29,2,0.0,1,yes,yes,144375.0,no,yes,25-34,1-2,no,Good
15764866,539,Germany,Female,43,3,116220.5,3,yes,no,55803.96,yes,no,35-44,3-5,no,Poor
15794056,668,France,Female,46,2,0.0,3,yes,no,89048.46,yes,yes,45-54,1-2,no,Fair
15795149,703,France,Male,28,2,81173.83,2,no,yes,162812.16,no,no,25-34,1-2,no,Good
15812009,662,Spain,Male,38,4,0.0,2,yes,no,136259.65,no,yes,35-44,3-5,no,Fair
15651001,725,Germany,Female,39,5,116803.8,1,yes,no,124052.97,no,no,35-44,3-5,yes,Good
15813844,703,France,Male,37,8,105961.68,2,no,yes,74158.8,no,no,35-44,6-10,no,Good
15596175,659,Germany,Male,67,6,117411.6,1,yes,yes,45071.09,yes,no,65+,6-10,no,Fair
15576269,523,Spain,Male,34,7,0.0,2,yes,no,62030.06,no,yes,25-34,6-10,no,Poor
15797219,635,France,Female,40,10,123497.58,1,yes,no,131953.23,yes,no,35-44,6-10,yes,Fair
15685500,772,Germany,Male,26,7,152400.51,2,yes,no,79414.0,no,no,25-34,6-10,no,Very Good
15599792,545,France,Female,26,1,0.0,2,yes,yes,199638.56,no,yes,25-34,1-2,no,Poor
15657566,634,Germany,Male,24,8,103097.85,1,yes,yes,157577.29,no,no,<25,6-10,no,Fair
15772423,739,Germany,Male,54,8,126418.14,1,yes,no,134420.75,yes,no,45-54,6-10,yes,Good
15628112,771,Germany,Female,36,5,77846.9,1,no,no,99805.99,no,no,35-44,3-5,yes,Very Good
15753754,587,Spain,Female,34,1,0.0,2,yes,yes,97932.68,no,yes,25-34,1-2,no,Fair
15793726,681,France,Female,79,0,0.0,2,no,yes,170968.99,no,yes,65+,0,no,Good
15694717,544,Germany,Male,37,2,79731.91,1,yes,yes,57558.95,no,no,35-44,1-2,no,Poor
15665834,696,Spain,Male,28,8,0.0,1,no,no,176713.47,no,yes,25-34,6-10,yes,Good
15765297,766,Spain,Male,41,0,0.0,2,no,yes,34283.23,no,yes,35-44,0,no,Very Good
15636684,727,France,Male,34,10,0.0,2,yes,yes,198637.34,no,yes,25-34,6-10,no,Good
15592979,671,Germany,Female,34,6,37266.67,2,no,no,156917.12,no,no,25-34,6-10,no,Good
15750803,693,France,Female,30,6,127992.25,1,yes,yes,50457.2,no,no,25-34,6-10,no,Good
15607178,850,Germany,Male,38,3,54901.01,1,yes,yes,140075.55,no,no,35-44,3-5,no,Excellent
15713853,732,Germany,Male,42,9,108748.08,2,yes,yes,65323.11,no,no,35-44,6-10,no,Good
15673481,726,Spain,Female,48,6,99906.19,1,yes,no,64323.24,no,no,45-54,6-10,yes,Good
15686776,557,France,Female,32,6,184686.41,2,yes,no,14956.44,no,no,25-34,6-10,no,Poor
15673693,682,France,Female,26,0,110654.02,1,no,yes,111879.21,no,no,25-34,0,no,Good
15700696,738,Spain,Male,31,9,79019.8,1,yes,yes,18606.23,no,no,25-34,6-10,no,Good
15813163,531,Spain,Female,36,9,99240.51,1,yes,no,123137.01,no,no,35-44,6-10,yes,Poor
15653857,498,France,Male,34,2,0.0,2,yes,yes,148528.24,no,yes,25-34,1-2,no,Poor
15777076,651,France,Male,36,7,0.0,2,yes,no,13898.31,no,yes,35-44,6-10,no,Fair
